image_id,image_path,shipment_id,damage_type,severity,bbox,confidence,shipment_stage,vendor,timestamp,image_width,image_height,likely_cause,liability,base_cost,damage_area_pct,estimated_cost,action,report_status
000_mask.png,data/images/test/damaged/000_mask.png,SHP-100000,crushed,low,"[0,0,0,0]",0.65,warehouse,GlobalPack Ltd,2025-10-05T23:57:00,512,512,overstacking / heavy pressure,Warehouse,1200.0,0.0,960.0,Minor repair / accept,draft
000_mask_1.png,data/images/test/damaged/000_mask_1.png,SHP-100001,torn_tape,low,"[0,0,0,0]",0.61,warehouse,VendorA,2025-10-11T06:48:00,512,512,poor sealing at packing,Vendor,300.0,0.0,240.0,Minor repair / accept,draft
000_mask_2.png,data/images/test/damaged/000_mask_2.png,SHP-100002,torn_tape,low,"[0,0,0,0]",0.85,warehouse,PolyChem Co,2025-10-26T03:13:00,512,512,poor sealing at packing,Vendor,300.0,0.0,240.0,Minor repair / accept,draft
000_mask_3.png,data/images/test/damaged/000_mask_3.png,SHP-100003,wet,medium,"[0,0,0,0]",0.91,transit,TransMover Inc,2025-10-01T15:05:00,512,512,exposure to moisture (improper sealing),Carrier,500.0,0.0,500.0,Repair or partial refund,draft
000_mask_4.png,data/images/test/damaged/000_mask_4.png,SHP-100004,crushed,low,"[0,0,0,0]",0.68,handling,PolyChem Co,2025-10-16T15:39:00,512,512,overstacking / heavy pressure,Warehouse,1200.0,0.0,960.0,Minor repair / accept,draft
000_mask_5.png,data/images/test/damaged/000_mask_5.png,SHP-100005,wet,low,"[0,0,0,0]",0.92,warehouse,GlobalPack Ltd,2025-10-28T19:25:00,512,512,exposure to moisture (improper sealing),Carrier,500.0,0.0,400.0,Minor repair / accept,draft
000_mask_6.png,data/images/test/damaged/000_mask_6.png,SHP-100006,wet,medium,"[0,0,0,0]",0.97,warehouse,FastShip Logistics,2025-10-18T13:27:00,512,512,exposure to moisture (improper sealing),Carrier,500.0,0.0,500.0,Repair or partial refund,draft
001.png,data/images/test/damaged/001.png,SHP-100007,torn_tape,high,"[0,0,0,0]",0.74,delivered,GlobalPack Ltd,2025-10-10T02:01:00,512,512,poor sealing at packing,Vendor,300.0,0.0,480.0,Reject and replace,draft
001_1.png,data/images/test/damaged/001_1.png,SHP-100008,scratch,medium,"[0,0,0,0]",0.97,warehouse,GlobalPack Ltd,2025-10-11T22:16:00,512,512,abrasion from conveyor,Vendor,200.0,0.0,200.0,Repair or partial refund,draft
001_2.png,data/images/test/damaged/001_2.png,SHP-100009,crushed,low,"[0,0,0,0]",0.92,handling,GlobalPack Ltd,2025-10-08T17:39:00,512,512,overstacking / heavy pressure,Warehouse,1200.0,0.0,960.0,Minor repair / accept,draft
